Recomendação,Link,Descrição,Prioridade
SEC10-BP07 Execute simulações,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_run_game_days.html,"À medida que as organizações crescem e evoluem com o tempo, o mesmo acontece com o cenário de ameaças, o que torna importante analisar continuamente seus recursos de resposta a incidentes. Executar simulações (também conhecidas como dias de teste) é um método que pode ser usado para realizar essa avaliação. As simulações usam cenários de eventos de segurança do mundo real projetados para imitar as táticas, as técnicas e os procedimentos (TTPs) de um agente de ameaças e permitir que uma organização exercite e avalie seus recursos de resposta a incidentes respondendo a esses eventos cibernéticos simulados da mesma forma que em uma situação real.",Média
SEC10-BP08 Estabeleça uma estrutura para aprender com os incidentes,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_incident_response_establish_incident_framework.html,"A implementação de uma framework de lições aprendidas e da capacidade de análise da causa raiz não só ajudará a melhorar os recursos de resposta a incidentes, mas também ajudará a evitar que o incidente se repita. Ao aprender com cada incidente, você pode ajudar a evitar a repetição dos mesmos erros, exposições ou configurações incorretas, não apenas melhorando seu procedimento de segurança, mas também minimizando o tempo perdido em situações evitáveis.",Média
SEC11-BP01 Treinar para segurança de aplicações,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_train_for_application_security.html,Forneça treinamento aos criadores em sua organização sobre práticas comuns para promover a segurança no desenvolvimento e na operação de aplicações. A adoção de práticas de desenvolvimento com foco na segurança ajuda a diminuir a probabilidade de problemas que são detectados somente no estágio de avaliação da segurança.,Média
SEC11-BP02 Automatizar o teste durante o ciclo de vida de desenvolvimento e lançamento,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_automate_testing_throughout_lifecycle.html,"Automatize o teste das propriedades de segurança durante o ciclo de vida de desenvolvimento e lançamento. Com a automação, é mais fácil identificar de forma consistente e repetível possíveis problemas no software antes do lançamento, o que reduz o risco de problemas de segurança no software que está sendo fornecido.",Média
SEC11-BP03 Realizar teste de penetração regular,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_perform_regular_penetration_testing.html,"Realize teste de penetração regular do software. Esse mecanismo ajuda a identificar possíveis problemas de software que não podem ser detectados pelo teste automatizado ou por uma análise manual do código. Ele também ajuda você a entender a eficácia dos controles de detecção. O teste de penetração deve tentar determinar se o software pode ser executado de formas inesperadas; por exemplo, expondo dados que devem ser protegidos ou concedendo permissões mais amplas que o esperado.",Média
SEC11-BP04 Análises manuais de código,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_manual_code_reviews.html,Realize uma análise manual do código do software que você produz. Esse processo ajuda a verificar se a pessoa que escreveu o código não é a única que está conferindo a qualidade dele.,Média
SEC11-BP05 Centralizar serviços para pacotes e dependências,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_centralize_services_for_packages_and_dependencies.html,Forneça serviços centralizados a equipes de criadores para obter pacotes de software e outras dependências. Isso permite a validação de pacotes antes que eles sejam incluídos no software que você escreve e fornece uma fonte de dados para a análise do software que está sendo usado na sua organização.,Média
SEC11-BP06 Implantar software programaticamente,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_deploy_software_programmatically.html,Faça implantações de software de forma programática quando possível. Essa abordagem diminui a probabilidade de falha em uma implantação ou da introdução de um problema inesperado devido a erro humano.,Alta
SEC11-BP07 Avaliar regularmente as propriedades de segurança dos pipelines,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_regularly_assess_security_properties_of_pipelines.html,"Aplique os princípios do pilar Segurança do Well-Architected aos seus pipelines, com atenção especial à separação das permissões. Avalie as propriedades de segurança de sua infraestrutura de pipelines. O gerenciamento eficaz da segurança dos pipelines permite que você forneça segurança ao software que passa pelos pipelines.",Alta
SEC11-BP08 Criar um programa que incorpore a propriedade de segurança nas equipes de workload,https://docs.aws.amazon.com/pt_br/wellarchitected/latest/security-pillar/sec_appsec_build_program_that_embeds_security_ownership_in_teams.html,"Crie um programa ou mecanismo que capacite as equipes de criadores a tomar decisões de segurança sobre o software que elas estão criando. Ainda assim é necessário que sua equipe de segurança valide essas decisões durante uma avaliação, mas a incorporação da propriedade de segurança nas equipes de criadores aumenta a velocidade e segurança do processo de criação de workloads. Esse mecanismo também promove uma cultura de propriedade que afeta de forma positiva a operação dos sistemas que você cria.",Alta
